Gene name	Human gene stable ID	Human gene name	Query protein or transcript ID	Human homology type	Human orthology confidence [0 low, 1 high]
	ENSG00000005001	PRSS22	ENSTGUP00000015507	ortholog_many2many	0
	ENSG00000185873	TMPRSS11B	ENSTGUP00000015507	ortholog_many2many	0
	ENSG00000187054	TMPRSS11A	ENSTGUP00000015507	ortholog_many2many	0
	ENSG00000153802	TMPRSS11D	ENSTGUP00000015507	ortholog_many2many	0
C3orf52	ENSG00000114529	C3orf52	ENSTGUP00000013995	ortholog_one2one	1
					
					
CD200	ENSG00000091972	CD200	ENSTGUP00000022009	ortholog_one2one	1
					
LTN1	ENSG00000198862	LTN1	ENSTGUP00000013993	ortholog_one2one	1
RWDD2B	ENSG00000156253	RWDD2B	ENSTGUP00000013992	ortholog_one2one	1
USP16	ENSG00000156256	USP16	ENSTGUP00000035316	ortholog_one2one	1
CCT8	ENSG00000156261	CCT8	ENSTGUP00000016452	ortholog_one2one	1
					
BACH1	ENSG00000156273	BACH1	ENSTGUP00000013988	ortholog_one2one	1
PAXBP1	ENSG00000159086	PAXBP1	ENSTGUP00000013981	ortholog_one2one	1
RNF121	ENSG00000137522	RNF121	ENSTGUP00000028644	ortholog_one2one	1
					
NUMA1	ENSG00000137497	NUMA1	ENSTGUP00000027117	ortholog_one2one	1
LAMTOR1	ENSG00000149357	LAMTOR1	ENSTGUP00000031802	ortholog_one2one	1
TOMT	ENSG00000284844	TOMT	ENSTGUP00000037750	ortholog_one2one	1
ANAPC15	ENSG00000110200	ANAPC15	ENSTGUP00000023130	ortholog_one2one	1
	ENSG00000183560	IZUMO1R	ENSTGUP00000013980	ortholog_many2many	0
	ENSG00000110203	FOLR3	ENSTGUP00000013980	ortholog_many2many	1
	ENSG00000110195	FOLR1	ENSTGUP00000013980	ortholog_many2many	1
	ENSG00000165457	FOLR2	ENSTGUP00000013980	ortholog_many2many	1
INPPL1	ENSG00000165458	INPPL1	ENSTGUP00000019706	ortholog_one2one	1
PHOX2A	ENSG00000165462	PHOX2A	ENSTGUP00000037798	ortholog_one2one	1
CLPB	ENSG00000162129	CLPB	ENSTGUP00000013977	ortholog_one2one	1
					
ARAP1	ENSG00000186635	ARAP1	ENSTGUP00000022679	ortholog_one2one	1
PDE2A	ENSG00000186642	PDE2A	ENSTGUP00000023833	ortholog_one2one	1
tgu-mir-139	ENSG00000272036	MIR139	ENSTGUT00000018590	ortholog_one2one	1
ARRB1	ENSG00000137486	ARRB1	ENSTGUP00000013972	ortholog_one2one	1
WDR73	ENSG00000177082	WDR73	ENSTGUP00000013970	ortholog_one2one	1
					
EMSY	ENSG00000158636	EMSY	ENSTGUP00000013967	ortholog_one2one	1
THAP12	ENSG00000137492	THAP12	ENSTGUP00000018701	ortholog_one2one	1
U2	ENSG00000252763	RNU2-31P	ENSTGUT00000018369	ortholog_one2one	0
WNT11	ENSG00000085741	WNT11	ENSTGUP00000013965	ortholog_one2one	1
UVRAG	ENSG00000198382	UVRAG	ENSTGUP00000013964	ortholog_one2one	1
DGAT2	ENSG00000062282	DGAT2	ENSTGUP00000013963	ortholog_one2one	1
MOGAT2	ENSG00000166391	MOGAT2	ENSTGUP00000013962	ortholog_one2one	1
					
MAP6	ENSG00000171533	MAP6	ENSTGUP00000023290	ortholog_one2one	1
	ENSG00000136487	GH2	ENSTGUP00000013961	ortholog_many2many	1
	ENSG00000259384	GH1	ENSTGUP00000013961	ortholog_many2many	1
	ENSG00000136488	CSH1	ENSTGUP00000013961	ortholog_many2many	0
	ENSG00000213218	CSH2	ENSTGUP00000013961	ortholog_many2many	0
	ENSG00000204414	CSHL1	ENSTGUP00000013961	ortholog_many2many	1
APP	ENSG00000142192	APP	ENSTGUP00000029357	ortholog_one2one	1
GABPA	ENSG00000154727	GABPA	ENSTGUP00000013957	ortholog_one2one	1
ATP5PF	ENSG00000154723	ATP5PF	ENSTGUP00000017014	ortholog_one2one	1
JAM2	ENSG00000154721	JAM2	ENSTGUP00000037640	ortholog_one2one	1
MRPL39	ENSG00000154719	MRPL39	ENSTGUP00000013954	ortholog_one2one	1
tgu-mir-155	ENSG00000283904	MIR155	ENSTGUT00000018788	ortholog_one2one	1
NCAM2	ENSG00000154654	NCAM2	ENSTGUP00000013953	ortholog_one2one	1
					
TMPRSS15	ENSG00000154646	TMPRSS15	ENSTGUP00000013952	ortholog_one2one	1
CHODL	ENSG00000154645	CHODL	ENSTGUP00000016457	ortholog_one2one	1
C21orf91	ENSG00000154642	C21orf91	ENSTGUP00000013950	ortholog_one2one	1
CXADR	ENSG00000154639	CXADR	ENSTGUP00000013948	ortholog_one2one	1
MIR125B2	ENSG00000207863	MIR125B2	ENSTGUT00000018250	ortholog_one2one	1
MIRLET7C	ENSG00000199030	MIRLET7C	ENSTGUT00000018793	ortholog_one2one	1
tgu-mir-99-1	ENSG00000207638	MIR99A	ENSTGUT00000018365	ortholog_one2one	1
					
USP25	ENSG00000155313	USP25	ENSTGUP00000037612	ortholog_one2one	1
					
NRIP1	ENSG00000180530	NRIP1	ENSTGUP00000037619	ortholog_one2one	1
					
SAMSN1	ENSG00000155307	SAMSN1	ENSTGUP00000013944	ortholog_one2one	1
HSPA13	ENSG00000155304	HSPA13	ENSTGUP00000033590	ortholog_one2one	1
					
					
					
ROBO2	ENSG00000185008	ROBO2	ENSTGUP00000013939	ortholog_one2one	1
					
ROBO1	ENSG00000169855	ROBO1	ENSTGUP00000013938	ortholog_one2one	1
					
					
					
GBE1	ENSG00000114480	GBE1	ENSTGUP00000027926	ortholog_one2one	1
					
	ENSG00000287839		ENSTGUP00000020291	ortholog_one2many	0
					
					
					
CADM2	ENSG00000175161	CADM2	ENSTGUP00000024251	ortholog_one2one	1
					
					
VGLL3	ENSG00000206538	VGLL3	ENSTGUP00000028236	ortholog_one2one	1
					
CHMP2B	ENSG00000083937	CHMP2B	ENSTGUP00000019609	ortholog_one2one	1
POU1F1	ENSG00000064835	POU1F1	ENSTGUP00000013932	ortholog_one2one	1
HTR1F	ENSG00000179097	HTR1F	ENSTGUP00000037063	ortholog_one2one	1
	ENSG00000206531	CD200R1L	ENSTGUP00000024950	ortholog_many2many	0
	ENSG00000163606	CD200R1	ENSTGUP00000024950	ortholog_many2many	0
					
					
PDZK1	ENSG00000174827	PDZK1	ENSTGUP00000013930	ortholog_one2one	1
	ENSG00000117262	GPR89A	ENSTGUP00000013929	ortholog_one2many	1
	ENSG00000188092	GPR89B	ENSTGUP00000013929	ortholog_one2many	1
GJA8	ENSG00000121634	GJA8	ENSTGUP00000019584	ortholog_one2one	1
GJA5	ENSG00000265107	GJA5	ENSTGUP00000033382	ortholog_one2one	1
ACP6	ENSG00000162836	ACP6	ENSTGUP00000013926	ortholog_one2one	1
BCL9	ENSG00000116128	BCL9	ENSTGUP00000013924	ortholog_one2one	1
					
POGLUT1	ENSG00000163389	POGLUT1	ENSTGUP00000037644	ortholog_one2one	1
	ENSG00000113845	TIMMDC1	ENSTGUP00000027754	ortholog_one2one	0
					
ADPRH	ENSG00000144843	ADPRH	ENSTGUP00000037564	ortholog_one2one	1
IGSF3	ENSG00000143061	IGSF3	ENSTGUP00000033957	ortholog_one2one	1
					
					
PTGFRN	ENSG00000134247	PTGFRN	ENSTGUP00000013915	ortholog_one2one	1
					
					
					
					
					
					
ILDR2	ENSG00000143195	ILDR2	ENSTGUP00000013912	ortholog_one2one	1
MAEL	ENSG00000143194	MAEL	ENSTGUP00000013911	ortholog_one2one	1
GPA33	ENSG00000143167	GPA33	ENSTGUP00000024318	ortholog_one2one	1
STYXL2	ENSG00000198842	STYXL2	ENSTGUP00000013909	ortholog_one2one	1
POU2F1	ENSG00000143190	POU2F1	ENSTGUP00000033840	ortholog_one2one	1
CD247	ENSG00000198821	CD247	ENSTGUP00000033683	ortholog_one2one	1
CREG1	ENSG00000143162	CREG1	ENSTGUP00000021437	ortholog_one2one	1
RCSD1	ENSG00000198771	RCSD1	ENSTGUP00000031009	ortholog_one2one	1
MPZL1	ENSG00000197965	MPZL1	ENSTGUP00000029854	ortholog_one2one	1
MPC2	ENSG00000143158	MPC2	ENSTGUP00000030056	ortholog_one2one	1
DCAF6	ENSG00000143164	DCAF6	ENSTGUP00000037893	ortholog_one2one	1
					
GABRR3	ENSG00000183185	GABRR3	ENSTGUP00000018334	ortholog_one2one	1
RIOX2	ENSG00000170854	RIOX2	ENSTGUP00000013900	ortholog_one2one	1
					
tgu-mir-7643					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
	ENSG00000275072	SNORD50B	ENSTGUT00000018630	ortholog_one2many	0
	ENSG00000202335		ENSTGUT00000018630	ortholog_one2many	0
					
5S_rRNA					
					
					
					
					
					
5S_rRNA					
					
					
					
5S_rRNA					
					
					
5S_rRNA					
5S_rRNA					
					
					
CRYBG3	ENSG00000080200	CRYBG3	ENSTGUP00000026848	ortholog_one2one	1
ARL6	ENSG00000113966	ARL6	ENSTGUP00000013897	ortholog_one2one	1
					
					
EPHA6	ENSG00000080224	EPHA6	ENSTGUP00000013896	ortholog_one2one	1
NSUN3	ENSG00000178694	NSUN3	ENSTGUP00000033231	ortholog_one2one	1
ARL13B	ENSG00000169379	ARL13B	ENSTGUP00000021290	ortholog_one2one	1
STX19	ENSG00000178750	STX19	ENSTGUP00000013894	ortholog_one2one	1
PROS1	ENSG00000184500	PROS1	ENSTGUP00000034975	ortholog_one2one	1
					
					
					
EPHA3	ENSG00000044524	EPHA3	ENSTGUP00000013891	ortholog_one2one	1
C3orf38	ENSG00000179021	C3orf38	ENSTGUP00000037942	ortholog_one2one	1
ZNF654	ENSG00000175105	ZNF654	ENSTGUP00000013889	ortholog_one2one	1
CGGBP1	ENSG00000163320	CGGBP1	ENSTGUP00000020636	ortholog_one2one	1
N6AMT1	ENSG00000156239	N6AMT1	ENSTGUP00000031743	ortholog_one2one	1
					
					
					
					
					
					
					
ADAMTS5	ENSG00000154736	ADAMTS5	ENSTGUP00000013885	ortholog_one2one	1
ADAMTS1	ENSG00000154734	ADAMTS1	ENSTGUP00000013883	ortholog_one2one	1
GDPD5	ENSG00000158555	GDPD5	ENSTGUP00000013882	ortholog_one2one	1
					
FCHSD2	ENSG00000137478	FCHSD2	ENSTGUP00000037524	ortholog_one2one	1
SERPINH1	ENSG00000149257	SERPINH1	ENSTGUP00000032405	ortholog_one2one	1
SNORD15	ENSG00000207445	SNORD15B	ENSTGUT00000018246	ortholog_one2many	1
SNORD15	ENSG00000207445	SNORD15B	ENSTGUT00000018798	ortholog_one2many	0
P2RY2	ENSG00000175591	P2RY2	ENSTGUP00000013878	ortholog_one2one	1
P2RY6	ENSG00000171631	P2RY6	ENSTGUP00000027453	ortholog_one2one	1
					
ARHGEF17	ENSG00000110237	ARHGEF17	ENSTGUP00000013876	ortholog_one2one	1
RELT	ENSG00000054967	RELT	ENSTGUP00000013875	ortholog_one2one	1
FAM168A	ENSG00000054965	FAM168A	ENSTGUP00000031280	ortholog_one2one	1
PLEKHB1	ENSG00000021300	PLEKHB1	ENSTGUP00000022328	ortholog_one2one	1
RAB6A	ENSG00000175582	RAB6A	ENSTGUP00000013870	ortholog_one2one	1
MRPL48	ENSG00000175581	MRPL48	ENSTGUP00000013868	ortholog_one2one	1
					
PAAF1	ENSG00000175575	PAAF1	ENSTGUP00000013866	ortholog_one2one	1
DNAJB13	ENSG00000187726	DNAJB13	ENSTGUP00000013865	ortholog_one2one	1
HUNK	ENSG00000142149	HUNK	ENSTGUP00000013864	ortholog_one2one	1
					
					
SOD1	ENSG00000142168	SOD1	ENSTGUP00000013862	ortholog_one2one	1
					
					
	ENSG00000198885	ITPRIPL1	ENSTGUP00000012842	ortholog_one2many	0
					
SAP18	ENSG00000150459	SAP18	ENSTGUP00000011733	ortholog_one2one	1
					
					
PGRMC1	ENSG00000101856	PGRMC1	ENSTGUP00000031509	ortholog_one2one	1
					
TIAM1	ENSG00000156299	TIAM1	ENSTGUP00000013860	ortholog_one2one	1
CLDN8	ENSG00000156284	CLDN8	ENSTGUP00000013859	ortholog_one2one	1
					
					
GRIK1	ENSG00000171189	GRIK1	ENSTGUP00000013858	ortholog_one2one	1
SLCO2B1	ENSG00000137491	SLCO2B1	ENSTGUP00000013857	ortholog_one2one	1
					
					
					
PGM2L1	ENSG00000165434	PGM2L1	ENSTGUP00000013855	ortholog_one2one	1
KCNE3	ENSG00000175538	KCNE3	ENSTGUP00000013854	ortholog_one2one	1
					
LIPT2	ENSG00000175536	LIPT2	ENSTGUP00000013853	ortholog_one2one	1
					
CHRDL2	ENSG00000054938	CHRDL2	ENSTGUP00000013851	ortholog_one2one	1
					
RNF169	ENSG00000166439	RNF169	ENSTGUP00000013850	ortholog_one2one	1
SPCS2	ENSG00000118363	SPCS2	ENSTGUP00000020101	ortholog_one2one	1
NEU3	ENSG00000162139	NEU3	ENSTGUP00000024620	ortholog_one2one	1
P4HA3	ENSG00000149380	P4HA3	ENSTGUP00000013848	ortholog_one2one	1
PPME1	ENSG00000214517	PPME1	ENSTGUP00000013847	ortholog_one2one	1
C2CD3	ENSG00000168014	C2CD3	ENSTGUP00000013846	ortholog_one2one	1
UCP3	ENSG00000175564	UCP3	ENSTGUP00000030353	ortholog_one2one	1
					
SYNJ1	ENSG00000159082	SYNJ1	ENSTGUP00000019429	ortholog_one2one	1
CFAP298	ENSG00000159079	CFAP298	ENSTGUP00000013843	ortholog_one2one	1
					
URB1	ENSG00000142207	URB1	ENSTGUP00000013841	ortholog_one2one	1
					
					
COL8A1	ENSG00000144810	COL8A1	ENSTGUP00000022171	ortholog_one2one	1
	ENSG00000198885	ITPRIPL1	ENSTGUP00000018047	ortholog_one2many	0
					
MAD2L1	ENSG00000164109	MAD2L1	ENSTGUP00000001975	ortholog_one2one	1
ST3GAL6	ENSG00000064225	ST3GAL6	ENSTGUP00000013838	ortholog_one2one	1
TMEM74	ENSG00000164841	TMEM74	ENSTGUP00000032331	ortholog_one2one	1
CPOX	ENSG00000080819	CPOX	ENSTGUP00000013837	ortholog_one2one	1
ERCC6L	ENSG00000186871	ERCC6L	ENSTGUP00000005133	ortholog_one2one	1
					
					
GPR161	ENSG00000143147	GPR161	ENSTGUP00000013835	ortholog_one2one	1
TIPRL	ENSG00000143155	TIPRL	ENSTGUP00000021038	ortholog_one2one	1
SFT2D2	ENSG00000213064	SFT2D2	ENSTGUP00000031857	ortholog_one2one	1
TBX19	ENSG00000143178	TBX19	ENSTGUP00000013832	ortholog_one2one	1
					
DPT	ENSG00000143196	DPT	ENSTGUP00000032347	ortholog_one2one	1
					
ATP1B1	ENSG00000143153	ATP1B1	ENSTGUP00000035523	ortholog_one2one	1
CCDC181	ENSG00000117477	CCDC181	ENSTGUP00000018800	ortholog_one2one	1
NME7	ENSG00000143156	NME7	ENSTGUP00000021733	ortholog_one2one	1
BLZF1	ENSG00000117475	BLZF1	ENSTGUP00000013827	ortholog_one2one	1
SLC19A2	ENSG00000117479	SLC19A2	ENSTGUP00000013825	ortholog_one2one	1
F5	ENSG00000198734	F5	ENSTGUP00000013824	ortholog_one2one	1
SLC35A5	ENSG00000138459	SLC35A5	ENSTGUP00000013822	ortholog_one2one	1
					
	ENSG00000206531	CD200R1L	ENSTGUP00000035702	ortholog_many2many	0
	ENSG00000163606	CD200R1	ENSTGUP00000035702	ortholog_many2many	1
GTPBP8	ENSG00000163607	GTPBP8	ENSTGUP00000013819	ortholog_one2one	1
TAF13	ENSG00000197780	TAF13	ENSTGUP00000013818	ortholog_one2one	1
NEPRO	ENSG00000163608	NEPRO	ENSTGUP00000034464	ortholog_one2one	1
					
BOC	ENSG00000144857	BOC	ENSTGUP00000013815	ortholog_one2one	1
CFAP44	ENSG00000206530	CFAP44	ENSTGUP00000013812	ortholog_one2one	1
ILDR1	ENSG00000145103	ILDR1	ENSTGUP00000026585	ortholog_one2one	1
					
GPR15	ENSG00000154165	GPR15	ENSTGUP00000018242	ortholog_one2one	1
CLDND1	ENSG00000080822	CLDND1	ENSTGUP00000013809	ortholog_one2one	1
					
					
GRAMD1C	ENSG00000178075	GRAMD1C	ENSTGUP00000019201	ortholog_one2one	1
ZDHHC23	ENSG00000184307	ZDHHC23	ENSTGUP00000024820	ortholog_one2one	1
CCDC191	ENSG00000163617	CCDC191	ENSTGUP00000013803	ortholog_one2one	1
QTRT2	ENSG00000151576	QTRT2	ENSTGUP00000013802	ortholog_one2one	1
DRD3	ENSG00000151577	DRD3	ENSTGUP00000013801	ortholog_one2one	1
					
					
					
FAM185A	ENSG00000222011	FAM185A	ENSTGUP00000002827	ortholog_one2one	1
WASL	ENSG00000106299	WASL	ENSTGUP00000028587	ortholog_one2one	1
LRRC17	ENSG00000128606	LRRC17	ENSTGUP00000034419	ortholog_one2one	1
ARMC10	ENSG00000170632	ARMC10	ENSTGUP00000002845	ortholog_one2one	1
KLHL5	ENSG00000109790	KLHL5	ENSTGUP00000009286	ortholog_one2one	1
LMOD2	ENSG00000170807	LMOD2	ENSTGUP00000004449	ortholog_one2one	1
NAPEPLD	ENSG00000161048	NAPEPLD	ENSTGUP00000002854	ortholog_one2one	1
					
					
GRM1	ENSG00000152822	GRM1	ENSTGUP00000011095	ortholog_one2one	1
					
TRPC4	ENSG00000133107	TRPC4	ENSTGUP00000020443	ortholog_one2one	1
					
					
SIK1	ENSG00000142178	SIK1	ENSTGUP00000029102	ortholog_one2one	1
	ENSG00000164675	IQUB	ENSTGUP00000004459	ortholog_one2one	0
					
					
PMPCB	ENSG00000105819	PMPCB	ENSTGUP00000002869	ortholog_one2one	1
BRMS1L	ENSG00000100916	BRMS1L	ENSTGUP00000012365	ortholog_one2one	1
					
					
					
ARHGAP10	ENSG00000071205	ARHGAP10	ENSTGUP00000002681	ortholog_one2one	1
SLC8A1	ENSG00000183023	SLC8A1	ENSTGUP00000002227	ortholog_one2one	1
CRYAA	ENSG00000160202	CRYAA	ENSTGUP00000031961	ortholog_one2one	1
					
RAB32	ENSG00000118508	RAB32	ENSTGUP00000011083	ortholog_one2one	1
					
					
					
TMEM170B	ENSG00000205269	TMEM170B	ENSTGUP00000019309	ortholog_one2one	1
					
CCDC170	ENSG00000120262	CCDC170	ENSTGUP00000011606	ortholog_one2one	1
					
TERF1	ENSG00000147601	TERF1	ENSTGUP00000011865	ortholog_one2one	1
					
GNPAT	ENSG00000116906	GNPAT	ENSTGUP00000010173	ortholog_one2one	1
	ENSG00000171813	PWWP2B	ENSTGUP00000012030	ortholog_one2many	1
MOCS1	ENSG00000124615	MOCS1	ENSTGUP00000002586	ortholog_one2one	1
					
					
ALKAL2	ENSG00000189292	ALKAL2	ENSTGUP00000013337	ortholog_one2one	1
DNAJC2	ENSG00000105821	DNAJC2	ENSTGUP00000002884	ortholog_one2one	1
					
	ENSG00000160957	RECQL4	ENSTGUP00000036659	ortholog_one2many	0
POSTN	ENSG00000133110	POSTN	ENSTGUP00000037289	ortholog_one2one	1
TYRO3	ENSG00000092445	TYRO3	ENSTGUP00000011252	ortholog_one2one	1
					
ACP1	ENSG00000143727	ACP1	ENSTGUP00000028661	ortholog_one2one	1
U2AF1	ENSG00000160201	U2AF1	ENSTGUP00000024805	ortholog_one2one	1
TMEM140	ENSG00000146859	TMEM140	ENSTGUP00000024664	ortholog_one2one	1
SBSPON	ENSG00000164764	SBSPON	ENSTGUP00000011866	ortholog_one2one	1
ESR1	ENSG00000091831	ESR1	ENSTGUP00000011604	ortholog_one2one	1
GINS1	ENSG00000101003	GINS1	ENSTGUP00000002211	ortholog_one2one	1
	ENSG00000167701	GPT	ENSTGUP00000033858	ortholog_one2many	1
MAGT1	ENSG00000102158	MAGT1	ENSTGUP00000021509	ortholog_one2one	1
					
PSMC2	ENSG00000161057	PSMC2	ENSTGUP00000026278	ortholog_one2one	1
					
	ENSG00000176769	TCERG1L	ENSTGUP00000022175	ortholog_one2many	1
					
	ENSG00000050327	ARHGEF5	ENSTGUP00000012254	ortholog_one2one	0
DAAM2	ENSG00000146122	DAAM2	ENSTGUP00000025966	ortholog_one2one	1
					
MGA	ENSG00000174197	MGA	ENSTGUP00000011260	ortholog_one2one	1
					
EIF4A3	ENSG00000141543	EIF4A3	ENSTGUP00000002204	ortholog_one2one	1
CLVS2	ENSG00000146352	CLVS2	ENSTGUP00000035029	ortholog_one2one	1
ADGB	ENSG00000118492	ADGB	ENSTGUP00000027950	ortholog_one2one	1
					
C11orf87	ENSG00000185742	C11orf87	ENSTGUP00000027767	ortholog_one2one	1
TBP	ENSG00000112592	TBP	ENSTGUP00000010136	ortholog_one2one	1
SH3YL1	ENSG00000035115	SH3YL1	ENSTGUP00000023633	ortholog_one2one	1
WDR19	ENSG00000157796	WDR19	ENSTGUP00000022684	ortholog_one2one	1
					
	ENSG00000187954	ZFTRAF1	ENSTGUP00000038383	ortholog_many2many	1
	ENSG00000291316	TMEM276-ZFTRAF1	ENSTGUP00000038383	ortholog_many2many	1
LATS2	ENSG00000150457	LATS2	ENSTGUP00000036976	ortholog_one2one	1
RPL7	ENSG00000147604	RPL7	ENSTGUP00000015171	ortholog_one2one	1
CBS	ENSG00000160200	CBS	ENSTGUP00000028206	ortholog_one2one	1
SLC13A1	ENSG00000081800	SLC13A1	ENSTGUP00000004522	ortholog_one2one	1
					
					
SLITRK6	ENSG00000184564	SLITRK6	ENSTGUP00000030389	ortholog_one2one	1
PSMB1	ENSG00000008018	PSMB1	ENSTGUP00000034875	ortholog_one2one	1
					
					
					
					
	ENSG00000175470	PPP2R2D	ENSTGUP00000032496	ortholog_one2many	1
					
					
SLC26A5	ENSG00000170615	SLC26A5	ENSTGUP00000002916	ortholog_one2one	1
					
					
RDH10	ENSG00000121039	RDH10	ENSTGUP00000011885	ortholog_one2one	1
	ENSG00000106410	NOBOX	ENSTGUP00000035465	ortholog_one2one	0
					
					
	ENSG00000131018	SYNE1	ENSTGUP00000023033	ortholog_one2many	1
					
					
ADTRP	ENSG00000111863	ADTRP	ENSTGUP00000024861	ortholog_one2one	1
					
					
					
ATL2	ENSG00000119787	ATL2	ENSTGUP00000024174	ortholog_one2one	1
XPO4	ENSG00000132953	XPO4	ENSTGUP00000011708	ortholog_one2one	1
FAM110C	ENSG00000184731	FAM110C	ENSTGUP00000013329	ortholog_one2one	1
					
	ENSG00000184924	PTRHD1	ENSTGUP00000015512	ortholog_one2one	0
					
					
					
					
EEF1AKMT1	ENSG00000150456	EEF1AKMT1	ENSTGUP00000011687	ortholog_one2one	1
	ENSG00000186439	TRDN	ENSTGUP00000031615	ortholog_one2one	0
KIF6	ENSG00000164627	KIF6	ENSTGUP00000031794	ortholog_one2one	1
					
	ENSG00000138092	CENPO	ENSTGUP00000030962	ortholog_one2one	0
					
					
CD9	ENSG00000010278	CD9	ENSTGUP00000012272	ortholog_one2one	1
					
FAM120B	ENSG00000112584	FAM120B	ENSTGUP00000010106	ortholog_one2one	1
IL17D	ENSG00000172458	IL17D	ENSTGUP00000032122	ortholog_one2one	1
FBXO25	ENSG00000147364	FBXO25	ENSTGUP00000013328	ortholog_one2one	1
					
					
					
					
					
					
	ENSG00000115137	DNAJC27	ENSTGUP00000034420	ortholog_one2one	0
					
	ENSG00000102710	SUPT20H	ENSTGUP00000012292	ortholog_one2many	1
	ENSG00000223611	SUPT20HL2	ENSTGUP00000012292	ortholog_one2many	1
	ENSG00000223731	SUPT20HL1	ENSTGUP00000012292	ortholog_one2many	1
					
MAPKBP1	ENSG00000137802	MAPKBP1	ENSTGUP00000035711	ortholog_one2one	1
					
					
					
					
PKNOX1	ENSG00000160199	PKNOX1	ENSTGUP00000034690	ortholog_one2one	1
HIVEP1	ENSG00000095951	HIVEP1	ENSTGUP00000031346	ortholog_one2one	1
SPRY2	ENSG00000136158	SPRY2	ENSTGUP00000033787	ortholog_one2one	1
STAU2	ENSG00000040341	STAU2	ENSTGUP00000027884	ortholog_one2one	1
TDRP	ENSG00000180190	TDRP	ENSTGUP00000013326	ortholog_one2one	1
